,place_name,review,rating
553,대충유원지 인왕산,디저트가 맛있어요,
554,대충유원지 인왕산,빵이 맛있어요,
555,대충유원지 인왕산,친절해요,
556,대충유원지 인왕산,인테리어가 멋져요,34
557,대충유원지 인왕산,매장이 청결해요,
558,대충유원지 인왕산,뷰가 좋아요,49
559,대충유원지 인왕산,음료가 맛있어요,25
560,대충유원지 인왕산,사진이 잘 나와요,21
561,대충유원지 인왕산,특별한 메뉴가 있어요,
562,대충유원지 인왕산,대화하기 좋아요,
563,대충유원지 인왕산,가성비가 좋아요,
564,대충유원지 인왕산,집중하기 좋아요,
565,대충유원지 인왕산,화장실이 깨끗해요,
566,대충유원지 인왕산,주차하기 편해요,
567,대충유원지 인왕산,좌석이 편해요,
568,대충유원지 인왕산,음식이 맛있어요,
569,대충유원지 인왕산,매장이 넓어요,
570,대충유원지 인왕산,단체모임 하기 좋아요,
571,대충유원지 인왕산,특별한 날 가기 좋아요,
572,대충유원지 인왕산,재료가 신선해요,
573,대충유원지 인왕산,양이 많아요,
574,대충유원지 인왕산,혼밥하기 좋아요,
575,라카페갤러리,커피가 맛있어요,7
576,라카페갤러리,디저트가 맛있어요,
577,라카페갤러리,빵이 맛있어요,
578,라카페갤러리,친절해요,7
579,라카페갤러리,인테리어가 멋져요,7
580,라카페갤러리,매장이 청결해요,4
581,라카페갤러리,뷰가 좋아요,
582,라카페갤러리,음료가 맛있어요,
583,라카페갤러리,사진이 잘 나와요,
584,라카페갤러리,특별한 메뉴가 있어요,
585,라카페갤러리,대화하기 좋아요,4
586,라카페갤러리,가성비가 좋아요,
587,라카페갤러리,집중하기 좋아요,
588,라카페갤러리,화장실이 깨끗해요,
589,라카페갤러리,주차하기 편해요,
590,라카페갤러리,좌석이 편해요,
591,라카페갤러리,음식이 맛있어요,
592,라카페갤러리,매장이 넓어요,
593,라카페갤러리,단체모임 하기 좋아요,
594,라카페갤러리,특별한 날 가기 좋아요,
595,라카페갤러리,재료가 신선해요,
596,라카페갤러리,양이 많아요,
597,라카페갤러리,혼밥하기 좋아요,
598,슬로우파크,커피가 맛있어요,
599,슬로우파크,디저트가 맛있어요,
600,슬로우파크,빵이 맛있어요,
601,슬로우파크,친절해요,123
602,슬로우파크,인테리어가 멋져요,142
603,슬로우파크,매장이 청결해요,
604,슬로우파크,뷰가 좋아요,
605,슬로우파크,음료가 맛있어요,
606,슬로우파크,사진이 잘 나와요,
607,슬로우파크,특별한 메뉴가 있어요,
608,슬로우파크,대화하기 좋아요,
609,슬로우파크,가성비가 좋아요,
610,슬로우파크,집중하기 좋아요,
611,슬로우파크,화장실이 깨끗해요,
612,슬로우파크,주차하기 편해요,
613,슬로우파크,좌석이 편해요,
614,슬로우파크,음식이 맛있어요,298
615,슬로우파크,매장이 넓어요,88
616,슬로우파크,단체모임 하기 좋아요,
617,슬로우파크,특별한 날 가기 좋아요,
618,슬로우파크,재료가 신선해요,60
619,슬로우파크,양이 많아요,
620,슬로우파크,혼밥하기 좋아요,
621,가배도 삼청점,커피가 맛있어요,411
622,가배도 삼청점,디저트가 맛있어요,287
623,가배도 삼청점,빵이 맛있어요,
624,가배도 삼청점,친절해요,
625,가배도 삼청점,인테리어가 멋져요,320
626,가배도 삼청점,매장이 청결해요,
627,가배도 삼청점,뷰가 좋아요,
628,가배도 삼청점,음료가 맛있어요,218
629,가배도 삼청점,사진이 잘 나와요,
630,가배도 삼청점,특별한 메뉴가 있어요,
