,place_name,review,rating,0
1081,키커피컴퍼니 왕십리점,커피가 맛있어요,92.0,True
1082,키커피컴퍼니 왕십리점,디저트가 맛있어요,99.0,True
1085,키커피컴퍼니 왕십리점,인테리어가 멋져요,41.0,True
1086,키커피컴퍼니 왕십리점,매장이 청결해요,43.0,True
1088,키커피컴퍼니 왕십리점,음료가 맛있어요,39.0,True
1104,카페온화 성수점,커피가 맛있어요,31.0,True
1105,카페온화 성수점,디저트가 맛있어요,42.0,True
1109,카페온화 성수점,매장이 청결해요,23.0,True
1111,카페온화 성수점,음료가 맛있어요,20.0,True
1119,카페온화 성수점,좌석이 편해요,18.0,True
1127,오우드,커피가 맛있어요,262.0,True
1128,오우드,디저트가 맛있어요,323.0,True
1131,오우드,인테리어가 멋져요,192.0,True
1132,오우드,매장이 청결해요,118.0,True
1134,오우드,음료가 맛있어요,122.0,True
1150,카페노티드 성수,커피가 맛있어요,249.0,True
1151,카페노티드 성수,디저트가 맛있어요,1978.0,True
1153,카페노티드 성수,친절해요,536.0,True
1155,카페노티드 성수,매장이 청결해요,334.0,True
1159,카페노티드 성수,특별한 메뉴가 있어요,507.0,True
1173,하루노유키,커피가 맛있어요,47.0,True
1175,하루노유키,빵이 맛있어요,98.0,True
1176,하루노유키,친절해요,54.0,True
1180,하루노유키,음료가 맛있어요,48.0,True
1182,하루노유키,특별한 메뉴가 있어요,62.0,True
1196,마크69,커피가 맛있어요,113.0,True
1197,마크69,디저트가 맛있어요,49.0,True
1200,마크69,인테리어가 멋져요,103.0,True
1203,마크69,음료가 맛있어요,52.0,True
1206,마크69,대화하기 좋아요,46.0,True
1222,맛차차,친절해요,29.0,True
1223,맛차차,인테리어가 멋져요,24.0,True
1225,맛차차,뷰가 좋아요,31.0,True
1226,맛차차,음료가 맛있어요,40.0,True
1228,맛차차,특별한 메뉴가 있어요,30.0,True
1242,아이오쓰리 성수사거리점,커피가 맛있어요,65.0,True
1245,아이오쓰리 성수사거리점,친절해요,75.0,True
1246,아이오쓰리 성수사거리점,인테리어가 멋져요,54.0,True
1247,아이오쓰리 성수사거리점,매장이 청결해요,49.0,True
1249,아이오쓰리 성수사거리점,음료가 맛있어요,64.0,True
1265,브라운팟,커피가 맛있어요,191.0,True
1266,브라운팟,디저트가 맛있어요,189.0,True
1268,브라운팟,친절해요,90.0,True
1272,브라운팟,음료가 맛있어요,66.0,True
1274,브라운팟,특별한 메뉴가 있어요,58.0,True
1288,플디 성수점,커피가 맛있어요,26.0,True
1289,플디 성수점,디저트가 맛있어요,68.0,True
1291,플디 성수점,친절해요,27.0,True
1295,플디 성수점,음료가 맛있어요,22.0,True
1297,플디 성수점,특별한 메뉴가 있어요,24.0,True
1312,카페노티드 피치스,디저트가 맛있어요,954.0,True
1314,카페노티드 피치스,친절해요,230.0,True
1315,카페노티드 피치스,인테리어가 멋져요,480.0,True
1319,카페노티드 피치스,사진이 잘 나와요,244.0,True
1320,카페노티드 피치스,특별한 메뉴가 있어요,347.0,True
1357,비엔나커피하우스 서울숲역점,커피가 맛있어요,144.0,True
1358,비엔나커피하우스 서울숲역점,디저트가 맛있어요,57.0,True
1360,비엔나커피하우스 서울숲역점,친절해요,49.0,True
1364,비엔나커피하우스 서울숲역점,음료가 맛있어요,66.0,True
1367,비엔나커피하우스 서울숲역점,대화하기 좋아요,39.0,True
1380,훔볼트,커피가 맛있어요,238.0,True
1381,훔볼트,디저트가 맛있어요,250.0,True
1384,훔볼트,인테리어가 멋져요,126.0,True
1385,훔볼트,매장이 청결해요,71.0,True
1387,훔볼트,음료가 맛있어요,91.0,True
1403,업사이드커피 뚝섬점,커피가 맛있어요,117.0,True
1406,업사이드커피 뚝섬점,친절해요,53.0,True
1408,업사이드커피 뚝섬점,매장이 청결해요,26.0,True
1410,업사이드커피 뚝섬점,음료가 맛있어요,47.0,True
1412,업사이드커피 뚝섬점,특별한 메뉴가 있어요,22.0,True
1426,키커피컴퍼니 왕십리점,커피가 맛있어요,92.0,True
1427,키커피컴퍼니 왕십리점,디저트가 맛있어요,99.0,True
1430,키커피컴퍼니 왕십리점,인테리어가 멋져요,41.0,True
1431,키커피컴퍼니 왕십리점,매장이 청결해요,43.0,True
1433,키커피컴퍼니 왕십리점,음료가 맛있어요,39.0,True
1449,카페온화 성수점,커피가 맛있어요,31.0,True
1450,카페온화 성수점,디저트가 맛있어요,42.0,True
1454,카페온화 성수점,매장이 청결해요,23.0,True
1456,카페온화 성수점,음료가 맛있어요,20.0,True
1464,카페온화 성수점,좌석이 편해요,18.0,True
1472,오우드,커피가 맛있어요,262.0,True
1473,오우드,디저트가 맛있어요,323.0,True
1476,오우드,인테리어가 멋져요,192.0,True
1477,오우드,매장이 청결해요,118.0,True
1479,오우드,음료가 맛있어요,122.0,True
1495,카페노티드 성수,커피가 맛있어요,249.0,True
1496,카페노티드 성수,디저트가 맛있어요,1978.0,True
1498,카페노티드 성수,친절해요,536.0,True
1500,카페노티드 성수,매장이 청결해요,334.0,True
1504,카페노티드 성수,특별한 메뉴가 있어요,507.0,True
1518,하루노유키,커피가 맛있어요,47.0,True
1520,하루노유키,빵이 맛있어요,98.0,True
1521,하루노유키,친절해요,54.0,True
1525,하루노유키,음료가 맛있어요,48.0,True
1527,하루노유키,특별한 메뉴가 있어요,62.0,True
1541,마크69,커피가 맛있어요,113.0,True
1542,마크69,디저트가 맛있어요,49.0,True
1545,마크69,인테리어가 멋져요,103.0,True
1548,마크69,음료가 맛있어요,52.0,True
1551,마크69,대화하기 좋아요,46.0,True
1567,맛차차,친절해요,29.0,True
1568,맛차차,인테리어가 멋져요,24.0,True
1570,맛차차,뷰가 좋아요,31.0,True
1571,맛차차,음료가 맛있어요,40.0,True
1573,맛차차,특별한 메뉴가 있어요,30.0,True
1587,아이오쓰리 성수사거리점,커피가 맛있어요,65.0,True
1590,아이오쓰리 성수사거리점,친절해요,75.0,True
1591,아이오쓰리 성수사거리점,인테리어가 멋져요,54.0,True
1592,아이오쓰리 성수사거리점,매장이 청결해요,49.0,True
1594,아이오쓰리 성수사거리점,음료가 맛있어요,64.0,True
1610,브라운팟,커피가 맛있어요,191.0,True
1611,브라운팟,디저트가 맛있어요,189.0,True
1613,브라운팟,친절해요,90.0,True
1617,브라운팟,음료가 맛있어요,66.0,True
1619,브라운팟,특별한 메뉴가 있어요,58.0,True
1633,플디 성수점,커피가 맛있어요,26.0,True
1634,플디 성수점,디저트가 맛있어요,68.0,True
1636,플디 성수점,친절해요,27.0,True
1640,플디 성수점,음료가 맛있어요,22.0,True
1642,플디 성수점,특별한 메뉴가 있어요,24.0,True
1657,카페노티드 피치스,디저트가 맛있어요,954.0,True
1659,카페노티드 피치스,친절해요,230.0,True
1660,카페노티드 피치스,인테리어가 멋져요,480.0,True
1664,카페노티드 피치스,사진이 잘 나와요,244.0,True
1665,카페노티드 피치스,특별한 메뉴가 있어요,347.0,True
1702,비엔나커피하우스 서울숲역점,커피가 맛있어요,144.0,True
1703,비엔나커피하우스 서울숲역점,디저트가 맛있어요,57.0,True
1705,비엔나커피하우스 서울숲역점,친절해요,49.0,True
1709,비엔나커피하우스 서울숲역점,음료가 맛있어요,66.0,True
1712,비엔나커피하우스 서울숲역점,대화하기 좋아요,39.0,True
1725,훔볼트,커피가 맛있어요,238.0,True
1726,훔볼트,디저트가 맛있어요,250.0,True
1729,훔볼트,인테리어가 멋져요,126.0,True
1730,훔볼트,매장이 청결해요,71.0,True
1732,훔볼트,음료가 맛있어요,91.0,True
1748,업사이드커피 뚝섬점,커피가 맛있어요,117.0,True
1751,업사이드커피 뚝섬점,친절해요,53.0,True
1753,업사이드커피 뚝섬점,매장이 청결해요,26.0,True
1755,업사이드커피 뚝섬점,음료가 맛있어요,47.0,True
1757,업사이드커피 뚝섬점,특별한 메뉴가 있어요,22.0,True
1771,키커피컴퍼니 왕십리점,커피가 맛있어요,92.0,True
1772,키커피컴퍼니 왕십리점,디저트가 맛있어요,99.0,True
1775,키커피컴퍼니 왕십리점,인테리어가 멋져요,41.0,True
1776,키커피컴퍼니 왕십리점,매장이 청결해요,43.0,True
1778,키커피컴퍼니 왕십리점,음료가 맛있어요,39.0,True
1794,카페온화 성수점,커피가 맛있어요,31.0,True
1795,카페온화 성수점,디저트가 맛있어요,42.0,True
1799,카페온화 성수점,매장이 청결해요,23.0,True
1801,카페온화 성수점,음료가 맛있어요,20.0,True
1809,카페온화 성수점,좌석이 편해요,18.0,True
1817,오우드,커피가 맛있어요,262.0,True
1818,오우드,디저트가 맛있어요,323.0,True
1821,오우드,인테리어가 멋져요,192.0,True
1822,오우드,매장이 청결해요,118.0,True
1824,오우드,음료가 맛있어요,122.0,True
1840,카페노티드 성수,커피가 맛있어요,249.0,True
1841,카페노티드 성수,디저트가 맛있어요,1978.0,True
1843,카페노티드 성수,친절해요,536.0,True
1845,카페노티드 성수,매장이 청결해요,334.0,True
1849,카페노티드 성수,특별한 메뉴가 있어요,507.0,True
1863,하루노유키,커피가 맛있어요,47.0,True
1865,하루노유키,빵이 맛있어요,98.0,True
1866,하루노유키,친절해요,54.0,True
1870,하루노유키,음료가 맛있어요,48.0,True
1872,하루노유키,특별한 메뉴가 있어요,62.0,True
1886,마크69,커피가 맛있어요,113.0,True
1887,마크69,디저트가 맛있어요,49.0,True
1890,마크69,인테리어가 멋져요,103.0,True
1893,마크69,음료가 맛있어요,52.0,True
1896,마크69,대화하기 좋아요,46.0,True
1912,맛차차,친절해요,29.0,True
1913,맛차차,인테리어가 멋져요,24.0,True
1915,맛차차,뷰가 좋아요,31.0,True
1916,맛차차,음료가 맛있어요,40.0,True
1918,맛차차,특별한 메뉴가 있어요,30.0,True
1932,아이오쓰리 성수사거리점,커피가 맛있어요,65.0,True
1935,아이오쓰리 성수사거리점,친절해요,75.0,True
1936,아이오쓰리 성수사거리점,인테리어가 멋져요,54.0,True
1937,아이오쓰리 성수사거리점,매장이 청결해요,49.0,True
1939,아이오쓰리 성수사거리점,음료가 맛있어요,64.0,True
1955,브라운팟,커피가 맛있어요,191.0,True
1956,브라운팟,디저트가 맛있어요,189.0,True
1958,브라운팟,친절해요,90.0,True
1962,브라운팟,음료가 맛있어요,66.0,True
1964,브라운팟,특별한 메뉴가 있어요,58.0,True
1978,플디 성수점,커피가 맛있어요,26.0,True
1979,플디 성수점,디저트가 맛있어요,68.0,True
1981,플디 성수점,친절해요,27.0,True
1985,플디 성수점,음료가 맛있어요,22.0,True
1987,플디 성수점,특별한 메뉴가 있어요,24.0,True
2002,카페노티드 피치스,디저트가 맛있어요,954.0,True
2004,카페노티드 피치스,친절해요,230.0,True
2005,카페노티드 피치스,인테리어가 멋져요,480.0,True
2009,카페노티드 피치스,사진이 잘 나와요,244.0,True
2010,카페노티드 피치스,특별한 메뉴가 있어요,347.0,True
2047,비엔나커피하우스 서울숲역점,커피가 맛있어요,144.0,True
2048,비엔나커피하우스 서울숲역점,디저트가 맛있어요,57.0,True
2050,비엔나커피하우스 서울숲역점,친절해요,49.0,True
2054,비엔나커피하우스 서울숲역점,음료가 맛있어요,66.0,True
2057,비엔나커피하우스 서울숲역점,대화하기 좋아요,39.0,True
2070,훔볼트,커피가 맛있어요,238.0,True
2071,훔볼트,디저트가 맛있어요,250.0,True
2074,훔볼트,인테리어가 멋져요,126.0,True
2075,훔볼트,매장이 청결해요,71.0,True
2077,훔볼트,음료가 맛있어요,91.0,True
2093,업사이드커피 뚝섬점,커피가 맛있어요,117.0,True
2096,업사이드커피 뚝섬점,친절해요,53.0,True
2098,업사이드커피 뚝섬점,매장이 청결해요,26.0,True
2100,업사이드커피 뚝섬점,음료가 맛있어요,47.0,True
2102,업사이드커피 뚝섬점,특별한 메뉴가 있어요,22.0,True
2116,키커피컴퍼니 왕십리점,커피가 맛있어요,92.0,True
2117,키커피컴퍼니 왕십리점,디저트가 맛있어요,99.0,True
2120,키커피컴퍼니 왕십리점,인테리어가 멋져요,41.0,True
2121,키커피컴퍼니 왕십리점,매장이 청결해요,43.0,True
2123,키커피컴퍼니 왕십리점,음료가 맛있어요,39.0,True
2139,카페온화 성수점,커피가 맛있어요,31.0,True
2140,카페온화 성수점,디저트가 맛있어요,42.0,True
2144,카페온화 성수점,매장이 청결해요,23.0,True
2146,카페온화 성수점,음료가 맛있어요,20.0,True
2154,카페온화 성수점,좌석이 편해요,18.0,True
2162,오우드,커피가 맛있어요,262.0,True
2163,오우드,디저트가 맛있어요,323.0,True
2166,오우드,인테리어가 멋져요,192.0,True
2167,오우드,매장이 청결해요,118.0,True
2169,오우드,음료가 맛있어요,122.0,True
2185,카페노티드 성수,커피가 맛있어요,249.0,True
2186,카페노티드 성수,디저트가 맛있어요,1978.0,True
2188,카페노티드 성수,친절해요,536.0,True
2190,카페노티드 성수,매장이 청결해요,334.0,True
2194,카페노티드 성수,특별한 메뉴가 있어요,507.0,True
2208,하루노유키,커피가 맛있어요,47.0,True
2210,하루노유키,빵이 맛있어요,98.0,True
2211,하루노유키,친절해요,54.0,True
2215,하루노유키,음료가 맛있어요,48.0,True
2217,하루노유키,특별한 메뉴가 있어요,62.0,True
2231,마크69,커피가 맛있어요,113.0,True
2232,마크69,디저트가 맛있어요,49.0,True
2235,마크69,인테리어가 멋져요,103.0,True
2238,마크69,음료가 맛있어요,52.0,True
2241,마크69,대화하기 좋아요,46.0,True
2257,맛차차,친절해요,29.0,True
2258,맛차차,인테리어가 멋져요,24.0,True
2260,맛차차,뷰가 좋아요,31.0,True
2261,맛차차,음료가 맛있어요,40.0,True
2263,맛차차,특별한 메뉴가 있어요,30.0,True
2277,아이오쓰리 성수사거리점,커피가 맛있어요,65.0,True
2280,아이오쓰리 성수사거리점,친절해요,75.0,True
2281,아이오쓰리 성수사거리점,인테리어가 멋져요,54.0,True
2282,아이오쓰리 성수사거리점,매장이 청결해요,49.0,True
2284,아이오쓰리 성수사거리점,음료가 맛있어요,64.0,True
2300,브라운팟,커피가 맛있어요,191.0,True
2301,브라운팟,디저트가 맛있어요,189.0,True
2303,브라운팟,친절해요,90.0,True
2307,브라운팟,음료가 맛있어요,66.0,True
2309,브라운팟,특별한 메뉴가 있어요,58.0,True
2323,플디 성수점,커피가 맛있어요,26.0,True
2324,플디 성수점,디저트가 맛있어요,68.0,True
2326,플디 성수점,친절해요,27.0,True
2330,플디 성수점,음료가 맛있어요,22.0,True
2332,플디 성수점,특별한 메뉴가 있어요,24.0,True
2347,카페노티드 피치스,디저트가 맛있어요,954.0,True
2349,카페노티드 피치스,친절해요,230.0,True
2350,카페노티드 피치스,인테리어가 멋져요,480.0,True
2354,카페노티드 피치스,사진이 잘 나와요,244.0,True
2355,카페노티드 피치스,특별한 메뉴가 있어요,347.0,True
2392,비엔나커피하우스 서울숲역점,커피가 맛있어요,144.0,True
2393,비엔나커피하우스 서울숲역점,디저트가 맛있어요,57.0,True
2395,비엔나커피하우스 서울숲역점,친절해요,49.0,True
2399,비엔나커피하우스 서울숲역점,음료가 맛있어요,66.0,True
2402,비엔나커피하우스 서울숲역점,대화하기 좋아요,39.0,True
2415,훔볼트,커피가 맛있어요,238.0,True
2416,훔볼트,디저트가 맛있어요,250.0,True
2419,훔볼트,인테리어가 멋져요,126.0,True
2420,훔볼트,매장이 청결해요,71.0,True
2422,훔볼트,음료가 맛있어요,91.0,True
2438,업사이드커피 뚝섬점,커피가 맛있어요,117.0,True
2441,업사이드커피 뚝섬점,친절해요,53.0,True
2443,업사이드커피 뚝섬점,매장이 청결해요,26.0,True
2445,업사이드커피 뚝섬점,음료가 맛있어요,47.0,True
2447,업사이드커피 뚝섬점,특별한 메뉴가 있어요,22.0,True
2461,키커피컴퍼니 왕십리점,커피가 맛있어요,92.0,True
2462,키커피컴퍼니 왕십리점,디저트가 맛있어요,99.0,True
2465,키커피컴퍼니 왕십리점,인테리어가 멋져요,41.0,True
2466,키커피컴퍼니 왕십리점,매장이 청결해요,43.0,True
2468,키커피컴퍼니 왕십리점,음료가 맛있어요,39.0,True
2484,카페온화 성수점,커피가 맛있어요,31.0,True
2485,카페온화 성수점,디저트가 맛있어요,42.0,True
2489,카페온화 성수점,매장이 청결해요,23.0,True
2491,카페온화 성수점,음료가 맛있어요,20.0,True
2499,카페온화 성수점,좌석이 편해요,18.0,True
2507,오우드,커피가 맛있어요,262.0,True
2508,오우드,디저트가 맛있어요,323.0,True
2511,오우드,인테리어가 멋져요,192.0,True
2512,오우드,매장이 청결해요,118.0,True
2514,오우드,음료가 맛있어요,122.0,True
2530,카페노티드 성수,커피가 맛있어요,249.0,True
2531,카페노티드 성수,디저트가 맛있어요,1978.0,True
2533,카페노티드 성수,친절해요,536.0,True
2535,카페노티드 성수,매장이 청결해요,334.0,True
