,place_name,review,rating
389,토즈모임센터 광화문점,양이 많아요,
390,토즈모임센터 광화문점,혼밥하기 좋아요,
391,개뿔,커피가 맛있어요,2
392,개뿔,디저트가 맛있어요,
393,개뿔,빵이 맛있어요,
394,개뿔,친절해요,4
395,개뿔,인테리어가 멋져요,4
396,개뿔,매장이 청결해요,
397,개뿔,뷰가 좋아요,
398,개뿔,음료가 맛있어요,
399,개뿔,사진이 잘 나와요,6
400,개뿔,특별한 메뉴가 있어요,
401,개뿔,대화하기 좋아요,
402,개뿔,가성비가 좋아요,
403,개뿔,집중하기 좋아요,
404,개뿔,화장실이 깨끗해요,
405,개뿔,주차하기 편해요,
406,개뿔,좌석이 편해요,
407,개뿔,음식이 맛있어요,2
408,개뿔,매장이 넓어요,
409,개뿔,단체모임 하기 좋아요,
410,개뿔,특별한 날 가기 좋아요,
411,개뿔,재료가 신선해요,
412,개뿔,양이 많아요,
413,개뿔,혼밥하기 좋아요,
414,청수당,커피가 맛있어요,245
415,청수당,디저트가 맛있어요,282
416,청수당,빵이 맛있어요,
417,청수당,친절해요,
418,청수당,인테리어가 멋져요,301
419,청수당,매장이 청결해요,
420,청수당,뷰가 좋아요,
421,청수당,음료가 맛있어요,198
422,청수당,사진이 잘 나와요,183
423,청수당,특별한 메뉴가 있어요,
424,청수당,대화하기 좋아요,
425,청수당,가성비가 좋아요,
426,청수당,집중하기 좋아요,
427,청수당,화장실이 깨끗해요,
428,청수당,주차하기 편해요,
429,청수당,좌석이 편해요,
430,청수당,음식이 맛있어요,
431,청수당,매장이 넓어요,
432,청수당,단체모임 하기 좋아요,
433,청수당,특별한 날 가기 좋아요,
434,청수당,재료가 신선해요,
435,청수당,양이 많아요,
436,청수당,혼밥하기 좋아요,
437,부빙,커피가 맛있어요,31
438,부빙,디저트가 맛있어요,233
439,부빙,빵이 맛있어요,
440,부빙,친절해요,57
441,부빙,인테리어가 멋져요,
442,부빙,매장이 청결해요,42
443,부빙,뷰가 좋아요,
444,부빙,음료가 맛있어요,
445,부빙,사진이 잘 나와요,
446,부빙,특별한 메뉴가 있어요,159
447,부빙,대화하기 좋아요,
448,부빙,가성비가 좋아요,
449,부빙,집중하기 좋아요,
450,부빙,화장실이 깨끗해요,
451,부빙,주차하기 편해요,
452,부빙,좌석이 편해요,
453,부빙,음식이 맛있어요,
454,부빙,매장이 넓어요,
455,부빙,단체모임 하기 좋아요,
456,부빙,특별한 날 가기 좋아요,
457,부빙,재료가 신선해요,
458,부빙,양이 많아요,
459,부빙,혼밥하기 좋아요,
460,카페키이로,커피가 맛있어요,86
461,카페키이로,디저트가 맛있어요,212
462,카페키이로,빵이 맛있어요,
463,카페키이로,친절해요,102
464,카페키이로,인테리어가 멋져요,
